Heap Sort,3017.28,14000000
Merge Sort,1660.67,14000000
Quick Sort,907.393,14000000
qsort,915.81,14000000
Radix sort,22939.1,14000000
Counting Sort,263.349,14000000
Flash Sort,490.308,14000000
Shell Sort,1473.84,16000000
Heap Sort,3549.93,16000000
Merge Sort,1907.23,16000000
Quick Sort,1043.09,16000000
qsort,1029.77,16000000
Radix sort,26185,16000000
Counting Sort,300.557,16000000
Flash Sort,550.812,16000000
Shell Sort,1866.65,20000000
Heap Sort,4387.02,20000000
Merge Sort,2418.1,20000000
Quick Sort,1323.53,20000000
qsort,1311.87,20000000
Radix sort,32701.2,20000000
Counting Sort,389.672,20000000
Flash Sort,695.357,20000000
