Heap Sort,3827.56,14000000
Merge Sort,1749.64,14000000
Quick Sort,2004.13,14000000
qsort,864.983,14000000
Radix sort,23025.9,14000000
Counting Sort,434.897,14000000
Flash Sort,2886.23,14000000
Shell Sort,6521.55,16000000
Heap Sort,4472.02,16000000
Merge Sort,2012.05,16000000
Quick Sort,2312.26,16000000
qsort,998.651,16000000
Radix sort,26219.2,16000000
Counting Sort,492.027,16000000
Flash Sort,3321.04,16000000
Shell Sort,7356.43,20000000
Heap Sort,5865.3,20000000
Merge Sort,2565.77,20000000
Quick Sort,2703.12,20000000
qsort,1244.58,20000000
Radix sort,32953.9,20000000
Counting Sort,631.108,20000000
Flash Sort,4236.29,20000000
